Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,2013,2013,1000 Int. $,26248.15741,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),526,Apricots,2013,2013,1000 Int. $,1837.412096,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),176,"Beans, dry",2013,2013,1000 Int. $,11775.3141,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),414,"Beans, green",2013,2013,1000 Int. $,2546.48491,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),181,"Broad beans, horse beans, dry",2013,2013,1000 Int. $,71.0906,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),358,Cabbages and other brassicas,2013,2013,1000 Int. $,6772.04871,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),426,Carrots and turnips,2013,2013,1000 Int. $,1129.731472,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),393,Cauliflowers and broccoli,2013,2013,1000 Int. $,762.081713,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),531,Cherries,2013,2013,1000 Int. $,21726.03848,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),530,"Cherries, sour",2013,2013,1000 Int. $,10380.574,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),220,Chestnut,2013,2013,1000 Int. $,3098.281104,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),401,"Chillies and peppers, green",2013,2013,1000 Int. $,25317.36524,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),767,Cotton lint,2013,2013,1000 Int. $,328.71692,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),329,Cottonseed,2013,2013,1000 Int. $,141.585444,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),397,Cucumbers and gherkins,2013,2013,1000 Int. $,13844.61258,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),577,Dates,2013,2013,1000 Int. $,5356.263552,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),399,Eggplants (aubergines),2013,2013,1000 Int. $,5040.809754,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),1062,"Eggs, hen, in shell",2013,2013,1000 Int. $,26789.2647,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),1091,"Eggs, other bird, in shell",2013,2013,1000 Int. $,576.8442,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),569,Figs,2013,2013,1000 Int. $,10097.641086,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),512,"Fruit, citrus nes",2013,2013,1000 Int. $,111.657338,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),619,"Fruit, fresh nes",2013,2013,1000 Int. $,1610.79191,*,Unofficial figure
